Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2004;4.6;9.2;0.4;5;14;-1;6.28;72.0;2.8;5.9;964.8;1016.4;5.7;21.2;4;2
2004;4.6;11.3;-2.0;7;24;-4;5.24;64.0;3.8;7.9;969.0;1020.9;5.0;21.1;4;3
2004;2.5;7.0;-1.2;3;13;-2;5.32;73.0;2.2;4.7;969.2;1021.5;5.1;3.1;4;1
2004;20.7;29.5;10.6;25;51;8;8.2;37.0;18.3;31.2;964.3;1013.0;4.4;1.3;5;2
2004;16.0;23.1;9.2;20;41;7;9.9;58.0;9.3;19.1;969.3;1019.0;5.7;17.2;5;3
2004;9.6;17.1;1.4;13;37;-1;5.6;50.0;7.6;14.4;967.1;1018.0;4.6;0.0;5;1
2004;21.5;29.1;13.5;28;52;11;10.2;43.0;16.9;28.8;962.7;1011.2;4.8;0.0;6;2
2004;17.8;24.2;12.0;23;43;11;12.5;64.0;8.5;17.2;960.1;1008.9;4.7;30.6;6;3
2004;16.6;23.6;8.5;22;45;6;8.4;49.0;12.0;21.4;967.4;1017.0;4.9;28.6;6;1
2004;20.7;26.5;14.4;25;46;13;14.7;62.0;10.3;19.4;961.6;1010.0;4.2;11.0;7;2
2004;21.8;29.7;13.2;28;56;12;11.5;49.0;16.2;30.7;960.8;1009.1;3.2;0.8;7;3
2004;17.6;23.5;11.8;22;42;10;13.2;67.0;7.7;15.8;958.9;1007.7;4.6;16.9;7;1
2004;20.7;29.0;11.7;26;51;10;10.5;47.0;15.5;29.4;962.6;1011.2;3.8;0.0;8;2
2004;15.0;21.7;8.9;20;39;8;9.8;61.0;8.6;16.0;966.8;1016.5;5.0;6.6;8;3
2004;15.9;22.0;10.4;19;36;9;12.4;71.0;6.5;14.6;960.1;1009.4;5.0;42.7;8;1
2004;13.6;21.5;6.6;16;36;5;7.9;54.0;8.8;17.5;966.3;1016.3;4.6;2.9;9;2
2004;11.3;18.5;5.1;12;28;4;7.4;59.0;6.7;14.4;974.6;1025.5;5.6;1.6;9;3
2004;13.5;21.9;6.7;15;35;5;8.9;62.0;7.6;17.1;964.5;1014.5;4.5;15.0;9;1
2005;7.0;14.1;1.7;7;20;-1;6.85;70.0;4.0;9.0;969.9;1021.4;3.6;12.7;4;2
2005;13.5;20.7;6.4;16;36;3;8.8;59.0;7.7;15.9;969.0;1019.2;2.7;0.0;4;3
2005;-4.8;0.0;-8.8;-4;6;-10;3.56;79.0;0.97;1.9;970.8;1024.7;4.2;4.6;4;1
