Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2004;3.9;10.5;-2.2;6;20;-4;4.88;63.0;3.9;8.2;971.5;1020.2;5.1;19.2;4;3
2004;2.9;7.8;-1.1;-1;0;-4;4.71;63.0;3.2;5.9;971.9;1020.8;6.1;1.5;4;1
2004;4.7;9.7;0.3;4;12;-1;5.79;66.0;3.5;6.8;967.0;1015.4;6.3;17.9;4;2
2004;16.3;22.3;9.8;21;40;9;9.1;53.0;10.4;18.5;972.0;1018.5;3.9;12.0;5;3
2004;10.0;17.2;3.6;13;33;1;4.9;45.0;8.6;15.3;969.3;1016.9;5.1;1.5;5;1
2004;21.3;28.9;13.1;25;47;10;7.3;32.0;19.9;33.1;967.1;1012.7;4.7;0.0;5;2
2004;17.7;23.0;12.9;22;39;12;12.4;64.0;8.3;16.3;962.4;1008.2;3.4;21.0;6;3
2004;17.2;23.4;10.2;23;45;9;7.5;43.0;13.7;22.9;970.1;1016.4;4.8;8.0;6;1
2004;22.5;29.2;15.1;29;50;14;9.1;37.0;19.4;31.3;965.3;1010.5;5.3;0.5;6;2
2004;22.7;29.4;15.4;29;53;14;11.5;47.0;17.8;30.9;963.6;1008.7;3.2;0.3;7;3
2004;18.0;24.1;12.6;22;38;12;12.4;62.0;9.1;17.4;961.4;1007.1;3.8;19.1;7;1
2004;21.1;26.1;15.4;25;43;15;14.0;58.0;11.5;20.8;964.7;1010.0;2.9;8.8;7;2
2004;14.6;20.6;9.2;18;35;8;9.7;63.0;8.1;14.6;969.4;1016.1;3.6;13.0;8;3
2004;16.1;21.7;11.4;19;34;11;12.5;70.0;6.6;13.5;962.9;1009.0;3.9;42.3;8;1
2004;21.4;28.4;13.9;26;50;13;10.5;44.0;16.2;27.5;965.2;1010.6;3.6;0.0;8;2
2004;10.4;16.1;5.4;11;25;4;7.5;62.0;5.9;11.1;977.1;1025.0;5.3;2.1;9;3
2004;14.0;20.6;8.8;16;32;7;9.2;60.0;7.7;16.1;966.7;1013.4;5.1;24.7;9;1
2004;14.3;20.6;9.0;16;32;8;8.4;54.0;8.6;16.2;968.5;1015.3;5.3;2.6;9;2
2005;13.2;19.4;7.0;16;32;5;8.8;59.0;7.2;14.5;972.5;1019.7;3.1;8.5;4;3
2005;-4.3;0.1;-7.6;-5;0;-10;3.5;77.0;1.2;2.4;973.1;1023.5;6.7;1.9;4;1
2005;7.3;13.3;2.4;2;6;-1;6.31;64.0;4.7;9.0;972.6;1020.8;5.7;10.5;4;2
2005;13.8;19.6;7.6;18;37;5;8.5;56.0;8.0;15.0;965.2;1011.8;4.1;25.9;5;3
2005;12.5;18.5;6.5;16;32;5;6.9;49.0;8.8;15.5;966.5;1013.4;4.9;10.3;5;1
2005;13.8;20.2;5.8;18;41;4;7.6;51.0;9.1;16.6;976.9;1024.2;3.3;4.6;5;2
2005;19.2;24.7;14.5;23;40;13;12.5;61.0;11.0;20.0;957.2;1002.5;5.5;40.2;6;3
2005;20.2;27.2;12.4;26;49;10;11.3;50.0;14.8;26.1;966.2;1011.8;3.1;8.1;6;1
2005;20.0;25.4;14.3;25;47;13;12.4;55.0;11.8;21.0;961.3;1006.7;3.8;8.4;6;2
2005;19.9;25.4;15.2;24;42;14;15.6;69.0;8.3;16.7;962.4;1007.8;2.7;34.7;7;3
2005;24.4;30.8;17.7;30;53;16;14.1;50.0;17.8;31.9;961.1;1005.7;2.9;1.6;7;1
2005;18.1;23.6;12.0;23;41;11;11.9;61.0;9.6;17.4;961.1;1006.8;5.2;12.3;7;2
2005;12.6;17.3;9.0;14;26;8;10.1;73.0;5.3;9.9;959.5;1006.0;5.5;40.9;8;3
