Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2004;4.5;9.5;0.5;5.0;15.0;-2.0;5.5;62.0;3.4;6.3;962.8;1015.3;4.6;4.5;4;2
2004;5.0;11.4;-0.4;7.0;22.0;-2.0;4.63;54.0;4.6;8.5;967.7;1020.5;4.6;5.7;4;3
2004;1.2;5.9;-2.8;1.0;9.0;-4.0;5.41;79.0;1.5;3.0;965.0;1018.3;5.4;17.3;4;1
2004;19.6;27.6;12.1;24.0;45.0;9.0;7.0;36.0;17.3;29.0;961.9;1011.6;5.7;0.6;5;2
2004;17.0;22.8;11.4;21.0;41.0;9.0;6.8;39.0;13.6;21.4;969.7;1020.2;4.2;2.3;5;3
2004;9.8;16.8;3.4;13.0;32.0;1.0;5.0;47.0;8.4;14.6;965.3;1017.0;4.4;2.6;5;1
2004;20.7;28.1;13.6;26.0;45.0;12.0;9.1;41.0;16.8;28.3;960.2;1009.6;5.8;2.0;6;2
2004;19.2;25.4;13.4;25.0;45.0;12.0;10.6;50.0;12.4;21.2;961.1;1010.8;5.0;5.2;6;3
2004;17.2;24.2;10.6;22.0;41.0;9.0;6.7;39.0;14.7;23.8;964.4;1014.6;4.2;6.9;6;1
2004;23.3;29.0;17.4;29.0;50.0;15.0;12.0;44.0;17.6;26.8;961.6;1010.6;3.3;0.0;7;2
2004;22.6;28.6;17.3;26.0;45.0;15.0;11.0;43.0;17.4;25.8;959.6;1008.6;3.4;5.9;7;3
2004;18.4;24.5;13.1;24.0;42.0;12.0;11.1;55.0;10.7;18.3;958.2;1007.9;3.7;10.3;7;1
2004;20.7;27.6;14.8;24.0;43.0;13.0;9.6;41.0;15.8;26.4;961.0;1010.4;3.5;0.0;8;2
2004;17.4;24.6;11.8;21.0;39.0;10.0;10.1;51.0;11.5;20.8;967.3;1017.7;3.8;0.0;8;3
2004;16.4;21.5;12.2;18.0;32.0;11.0;11.8;66.0;7.4;14.6;960.9;1011.0;4.8;25.2;8;1
2004;14.3;20.4;9.9;16.0;33.0;7.0;7.9;51.0;9.2;15.8;964.6;1015.3;3.6;1.1;9;2
2004;14.9;21.0;9.7;15.0;31.0;6.0;7.1;46.0;10.7;18.4;971.9;1023.0;3.6;0.7;9;3
2004;14.7;21.0;9.2;18.0;36.0;7.0;8.0;51.0;9.5;16.7;962.7;1013.3;3.7;0.5;9;1
2005;3.4;7.2;0.2;2.0;8.0;-2.0;6.64;83.0;1.5;2.8;967.2;1020.2;3.9;1.9;4;2
2005;13.2;18.9;8.5;13.0;25.0;6.0;9.2;62.0;6.7;12.4;968.7;1019.9;4.0;1.2;4;3
