Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2004;3.7;8.7;-0.1;2;11;-2;5.76;72.0;2.4;4.8;979.7;1020.5;3.7;1.2;4;1
2004;6.0;13.2;-0.9;8;26;-3;5.27;60.0;4.7;10.0;980.4;1020.9;3.4;16.1;4;3
2004;5.9;11.2;1.4;6;16;0;6.01;65.0;3.9;7.9;976.0;1016.3;4.1;7.6;4;2
2004;10.3;17.5;2.9;15;36;-1;5.8;51.0;7.8;15.6;978.3;1018.1;2.7;0.0;5;1
2004;17.2;23.3;10.1;22;43;9;8.8;49.0;11.9;20.9;980.6;1019.5;3.6;6.3;5;3
2004;20.9;29.2;11.5;25;50;9;8.3;39.0;18.4;34.2;974.4;1012.5;2.9;0.0;5;2
2004;18.1;24.9;11.0;23;45;10;8.3;44.0;14.0;24.6;977.6;1016.2;3.5;11.7;6;1
2004;19.6;26.5;13.1;25;47;12;11.7;54.0;11.9;22.5;971.6;1009.7;3.4;10.5;6;3
2004;23.0;30.4;15.2;29;52;14;9.9;39.0;19.5;32.2;972.9;1010.6;3.0;0.0;6;2
2004;19.4;25.3;13.3;24;45;12;12.6;59.0;10.7;20.0;969.6;1007.7;3.0;14.6;7;1
2004;22.9;29.8;15.0;28;52;14;11.9;47.0;17.5;30.3;971.2;1008.8;1.9;11.2;7;3
2004;21.9;28.3;16.0;26;48;15;15.1;60.0;11.9;23.0;972.1;1009.8;2.4;3.3;7;2
2004;17.0;22.6;12.1;19;35;12;13.2;70.0;6.7;14.8;971.1;1009.5;3.4;57.6;8;1
2004;17.2;24.0;10.7;21;41;10;11.2;59.0;9.7;18.9;978.1;1016.8;3.0;10.5;8;3
2004;21.5;29.3;12.9;27;50;11;11.3;47.0;15.9;29.5;973.1;1011.0;1.9;0.0;8;2
2004;14.4;22.5;8.1;17;34;7;9.8;64.0;7.6;16.6;975.5;1014.5;2.7;11.9;9;1
2004;13.5;21.2;6.7;15;34;5;8.0;55.0;8.5;17.0;985.3;1024.8;3.1;0.9;9;3
2004;14.6;22.1;8.1;17;36;6;8.8;56.0;8.7;17.1;977.3;1016.4;3.0;1.1;9;2
2005;-5.3;-0.9;-10.4;-6;3;-13;3.4;79.0;0.95;1.9;983.4;1025.8;5.6;3.3;4;1
2005;14.6;21.3;7.8;18;37;5;9.7;60.0;7.9;16.5;980.1;1019.3;3.8;0.0;4;3
2005;6.8;13.1;1.9;5;15;-1;7.16;73.0;3.5;8.4;981.2;1021.5;5.0;11.2;4;2
2005;15.0;22.1;7.7;20;42;5;8.5;51.0;9.7;19.1;972.7;1011.6;4.8;1.6;5;1
2005;15.8;21.5;9.4;20;40;8;11.3;65.0;7.3;14.6;973.5;1012.2;4.2;16.4;5;3
2005;14.9;21.5;7.6;19;40;6;9.1;57.0;8.8;17.3;985.4;1024.7;3.4;44.9;5;2
2005;20.0;27.1;12.2;27;54;11;10.8;49.0;14.3;26.6;974.4;1012.6;3.2;1.1;6;1
2005;20.9;27.8;13.3;27;50;12;11.7;51.0;14.5;25.5;965.7;1003.3;4.5;5.5;6;3
2005;22.2;29.1;14.4;29;54;13;12.1;48.0;15.7;29.1;969.3;1007.0;3.7;1.8;6;2
2005;25.8;33.8;17.5;33;58;16;13.0;43.0;22.2;39.4;968.6;1005.8;3.2;1.0;7;1
2005;21.0;27.2;15.3;24;43;15;15.6;66.0;10.0;19.5;970.5;1008.4;3.3;18.3;7;3
2005;19.0;24.6;13.1;23;40;13;12.4;60.0;10.3;18.6;970.1;1008.2;4.9;15.7;7;2
2005;22.5;29.4;15.9;28;51;15;14.4;56.0;13.8;26.7;969.7;1007.3;3.7;0.0;8;1
2005;12.9;17.5;8.9;15;29;9;11.2;77.0;4.0;8.9;968.4;1007.2;5.1;33.9;8;3
2005;20.6;28.9;11.4;26;51;10;9.3;42.0;17.1;31.5;975.9;1014.1;3.4;0.0;8;2
2005;15.5;21.7;9.3;17;33;8;11.6;68.0;6.7;14.6;975.2;1013.9;4.1;7.7;9;1
2005;8.9;17.2;0.8;13;34;-1;6.3;59.0;6.0;14.0;984.9;1025.1;3.2;1.2;9;3
2005;14.5;23.2;6.4;18;38;5;8.3;53.0;9.5;20.0;978.7;1017.8;4.1;0.0;9;2
2006;11.4;18.9;5.3;15;32;4;7.7;63.0;7.1;14.0;972.7;1012.1;5.4;6.9;4;3
2006;9.6;18.0;1.4;13;33;-1;5.8;50.0;7.3;14.5;980.2;1020.1;5.1;0.0;4;2
2006;3.9;11.1;-1.8;5;18;-2;5.56;68.0;3.2;7.4;981.2;1022.0;4.7;0.2;4;1
2006;19.5;27.2;10.6;26;50;9;9.3;43.0;15.3;26.4;974.8;1013.1;4.1;0.0;5;3
2006;16.0;24.1;8.2;20;40;7;8.7;52.0;10.5;20.4;975.5;1014.3;5.1;9.3;5;2
2006;7.1;13.3;0.4;13;33;-1;5.06;55.0;5.7;10.4;986.6;1027.1;4.0;0.0;5;1
2006;20.5;26.4;15.3;24;43;15;16.0;69.0;8.7;17.7;964.2;1001.8;3.4;60.2;6;3
2006;23.4;31.0;15.3;28;53;14;12.4;47.0;18.7;34.3;975.7;1013.4;4.1;54.9;6;2
2006;19.4;26.7;11.1;25;47;10;11.1;53.0;12.9;24.0;976.9;1015.3;4.3;12.3;6;1
2006;19.2;25.9;12.2;24;47;11;10.6;50.0;12.6;23.7;967.0;1005.0;5.2;7.7;7;3
2006;19.4;26.0;13.0;24;47;12;14.6;68.0;9.0;19.6;973.7;1011.9;3.1;8.3;7;2
2006;18.3;24.2;12.3;24;48;12;12.8;61.0;9.3;18.0;970.4;1008.7;3.6;11.8;7;1
2006;18.2;25.6;10.3;23;45;9;8.5;44.0;14.2;26.1;976.5;1015.0;4.4;1.2;8;3
2006;18.6;26.6;10.8;22;44;9;10.2;52.0;13.0;24.9;975.8;1014.3;4.9;0.3;8;2
2006;17.3;24.1;10.5;23;46;10;10.7;58.0;9.9;19.5;971.3;1009.7;3.5;1.0;8;1
2006;9.5;17.6;1.9;12;33;0;6.3;56.0;6.5;13.6;978.3;1018.1;3.5;0.0;9;3
